,Country,Average_Player_Score,Average_Player_Value,rank,Wins,Losses,Ties,Game_Count,win_percentage,lose_percentage
107,Faroe Islands,64.4,535000.0,113.0,14,94,16,124,0.11290322580645161,0.7580645161290323
108,Sierra Leone,66.11111111111111,1229444.4444444445,114.0,20,37,22,79,0.25316455696202533,0.46835443037974683
109,Malawi,70.0,1900000.0,115.0,48,69,45,162,0.2962962962962963,0.42592592592592593
110,Estonia,64.2,738000.0,116.0,33,85,26,144,0.22916666666666666,0.5902777777777778
111,Mozambique,72.2,3275000.0,117.0,45,55,34,134,0.3358208955223881,0.41044776119402987
112,Central African Republic,70.25,4267500.0,118.0,11,23,13,47,0.23404255319148937,0.48936170212765956
113,Libya,71.25,2900000.0,119.0,40,49,33,122,0.32786885245901637,0.4016393442622951
114,Kosovo,72.5,5255357.142857143,120.0,9,20,8,37,0.24324324324324326,0.5405405405405406
115,New Zealand,69.64285714285714,2863214.285714286,122.0,43,19,11,73,0.589041095890411,0.2602739726027397
116,Sudan,61.0,461250.0,123.0,63,72,40,175,0.36,0.4114285714285714
117,Kazakhstan,68.33333333333333,1275000.0,124.0,20,79,27,126,0.15873015873015872,0.626984126984127
118,Philippines,65.66666666666667,1356666.6666666667,125.0,39,48,26,113,0.34513274336283184,0.4247787610619469
119,Angola,70.57142857142857,3935714.285714286,126.0,61,51,50,162,0.3765432098765432,0.3148148148148148
120,Antigua & Barbuda,62.0,907500.0,128.0,27,38,12,77,0.35064935064935066,0.4935064935064935
121,Rwanda,66.0,775000.0,129.0,62,70,36,168,0.36904761904761907,0.4166666666666667
122,Comoros,65.75,1090833.3333333333,131.0,7,31,15,53,0.1320754716981132,0.5849056603773585
123,Equatorial Guinea,66.66666666666667,2083333.3333333333,132.0,21,43,11,75,0.28,0.5733333333333334
124,Togo,68.28571428571429,3217142.8571428573,133.0,37,53,33,123,0.3008130081300813,0.43089430894308944
125,Lithuania,62.8,712500.0,134.0,36,83,22,141,0.2553191489361702,0.5886524822695035
126,Saint Kitts and Nevis,67.0,2095000.0,135.0,33,33,16,82,0.4024390243902439,0.4024390243902439
127,Tanzania,76.0,9000000.0,137.0,49,69,38,156,0.3141025641025641,0.4423076923076923
128,Latvia,61.714285714285715,437142.85714285716,138.0,42,77,40,159,0.2641509433962264,0.48427672955974843
129,Ethiopia,58.5,140000.0,140.0,55,60,29,144,0.3819444444444444,0.4166666666666667
130,Chinese Taipei,65.0,665000.0,141.0,13,45,5,63,0.20634920634920634,0.7142857142857143
131,Burundi,62.714285714285715,755714.2857142857,142.0,40,64,30,134,0.29850746268656714,0.47761194029850745
132,Hong Kong,52.5,110000.0,144.0,31,54,19,104,0.2980769230769231,0.5192307692307693
133,Nicaragua,56.0,120000.0,147.0,16,43,5,64,0.25,0.671875
134,Afghanistan,66.0,700000.0,149.0,24,34,19,77,0.3116883116883117,0.44155844155844154
135,Liberia,64.25,1887500.0,151.0,27,49,15,91,0.2967032967032967,0.5384615384615384
136,Gambia,68.14285714285714,1885714.2857142857,152.0,10,27,22,59,0.1694915254237288,0.4576271186440678
137,Malaysia,56.0,190000.0,153.0,47,65,23,135,0.34814814814814815,0.48148148148148145
138,Dominican Republic,66.75,3062500.0,156.0,27,28,7,62,0.43548387096774194,0.45161290322580644
139,New Caledonia,71.0,1600000.0,157.0,41,22,12,75,0.5466666666666666,0.29333333333333333
140,Andorra,62.0,250000.0,158.0,5,108,12,125,0.04,0.864
141,Grenada,64.5,587500.0,160.0,28,41,14,83,0.3373493975903614,0.4939759036144578
142,Barbados,61.0,300000.0,162.0,29,41,15,85,0.3411764705882353,0.4823529411764706
143,Guyana,59.6,328000.0,165.0,28,29,11,68,0.4117647058823529,0.4264705882352941
144,Papua New Guinea,64.0,625000.0,166.0,14,15,9,38,0.3684210526315789,0.39473684210526316
145,Bermuda,72.0,3000000.0,168.0,29,24,8,61,0.47540983606557374,0.39344262295081966
146,South Sudan,54.5,150000.0,169.0,8,28,7,43,0.18604651162790697,0.6511627906976745
147,Belize,63.0,400000.0,170.0,11,39,6,56,0.19642857142857142,0.6964285714285714
148,Indonesia,56.0,190000.0,173.0,39,51,22,112,0.3482142857142857,0.45535714285714285
